director,genre,stars,title,year
"Pete Docter, Ronnie Del Carmen",,"Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling, Phyllis Smith",Inside Out,2015
Peter Weir,,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen",Dead Poets Society,1989
James Mangold,,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, Stephen Merchant",Logan,2017
"Victor Fleming, George Cukor, Mervyn LeRoy",,"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley",The Wizard of Oz,1939
Danny Boyle,,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle",Trainspotting,1996
"Joel Coen, Ethan Coen",,"William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare, Kristin Rudrüd",Fargo,1996
Steven Spielberg,,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton",Jaws,1975
Kaige Chen,,"Leslie Cheung, Fengyi Zhang, Gong Li, You Ge, Da Ying",Farewell My Concubine,1993
Frank Capra,,"James Stewart, Jean Arthur, Claude Rains, Edward Arnold, Guy Kibbee",Mr. Smith Goes to Washington,1939
Emir Kusturica,,"Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac, Ernst Stötzner",Underground,1995
John Cassavetes,,"Gena Rowlands, Peter Falk, Fred Draper, Lady Rowlands, Katherine Cassavetes",A Woman Under the Influence,1974
Raoul Walsh,,"James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly, Steve Cochran",White Heat,1949
Ingmar Bergman,,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Jullan Kindahl",Wild Strawberries,1957
Mamoru Hosoda,,"Aoi Miyazaki, Takao Osawa, Haru Kuroki, Yukito Nishii, Momoka Ôno",Wolf Children,2012
Andrei Tarkovsky,,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev, Irina Tarkovskaya",Andrei Rublev,1966
F.W. Murnau,,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing, J. Farrell MacDonald",Sunrise,1927
Edward Yang,,"Nien-Jen Wu, Elaine Jin, Issei Ogata, Kelly Lee, Jonathan Chang",Yi Yi: A One and a Two...,2000
François Truffaut,,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble, Georges Flamant",The 400 Blows,1959
Peter Bogdanovich,,"Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman, P.J. Johnson",Paper Moon,1973
Ingmar Bergman,,"Bertil Guve, Pernilla Allwin, Kristina Adolphson, Börje Ahlstedt, Kristian Almgren",Fanny and Alexander,1982
Rajkumar Hirani,,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani, Saurabh Shukla",PK,2014
Frank Capra,,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas",It Happened One Night,1934
John Ford,,"Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin, Dorris Bowdon",The Grapes of Wrath,1940
"Kabir Khan, Mehmet Tutkun",,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor, Sharat Saxena",Bajrangi Bhaijaan,2015
Spike Jonze,,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara, Lynn Adrianna Freedman",Her,2013
Rob Reiner,,"Cary Elwes, Mandy Patinkin, Robin Wright, Chris Sarandon, Christopher Guest",The Princess Bride,1987
Sidney Lumet,,"Al Pacino, John Cazale, Penelope Allen, Sully Boyar, Beulah Garrick",Dog Day Afternoon,1975
Darren Aronofsky,,"Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder, Barbara Hershey",Black Swan,2010
Denis Villeneuve,,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac, Jason Momoa",Dune,2021
Howard Hawks,,"John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson, Walter Brennan",Rio Bravo,1959
James Gunn,,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana, Dave Bautista",Guardians of the Galaxy,2014
Denis Villeneuve,,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista, Robin Wright",Blade Runner 2049,2017
Hrishikesh Mukherjee,,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo, Seema Deo",Anand,1971
