director,genre,stars,title,year
John Hughes,,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey",Ferris Bueller's Day Off,1986
Andrew Davis,,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore, Joe Pantoliano",The Fugitive,1993
Greta Gerwig,,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern",Little Women,2019
John Hughes,,"Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy, Paul Gleason",The Breakfast Club,1985
Luca Guadagnino,,"Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar, Esther Garrel",Call Me by Your Name,2017
Nicolas Winding Refn,,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks, Oscar Isaac",Drive,2011
Joe Wright,,"Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland, Talulah Riley",Pride & Prejudice,2005
Nick Cassavetes,,"Gena Rowlands, James Garner, Rachel McAdams, Ryan Gosling, Tim Ivey",The Notebook,2004
George Cukor,,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper",My Fair Lady,1964
"George P. Cosmatos, Kevin Jarre",,"Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton, Powers Boothe",Tombstone,1993
S.S. Rajamouli,,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt, Olivia Morris",RRR,2022
Guy Ritchie,,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong, Lyne Renée",The Gentlemen,2019
Edward Berger,,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus, Adrian Grünewald",All Quiet on the Western Front,2022
Vikas Bahl,,"Hrithik Roshan, Mrunal Thakur, Nandish Singh Sandhu, Veerendra Saxena, Sadhana Singh",Super 30,2019
Daniel Ribeiro,,"Ghilherme Lobo, Fabio Audi, Tess Amorim, Lúcia Romano, Eucir de Souza",The Way He Looks,2014
Alain Resnais,,"Emmanuelle Riva, Eiji Okada, Stella Dassas, Pierre Barbaud, Bernard Fresson",Hiroshima Mon Amour,1959
Asghar Farhadi,,"Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti, Sajjad Dolati, Merila Zare'i",About Elly,2009
Imtiaz Ali,,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa, Pawan Malhotra",Jab We Met,2007
Louis Malle,,"Jeanne Moreau, Maurice Ronet, Georges Poujouly, Yori Bertin, Jean Wall",Elevator to the Gallows,1958
Fabián Bielinsky,,"Ricardo Darín, Gastón Pauls, Graciela Tenenbaum, María Mercedes Villagra, Gabo Correa",Nine Queens,2000
George Seaton,,"Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart, Natalie Wood",Miracle on 34th Street,1947
Jean-Pierre Melville,,"Alain Delon, Bourvil, Gian Maria Volontè, Yves Montand, Paul Crauchet",Le Cercle Rouge,1970
Sergei Eisenstein,,"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov, Mikhail Gomorov",Battleship Potemkin,1925
Cristian Mungiu,,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov, Alexandru Potocean, Luminita Gheorghiu","4 Months, 3 Weeks and 2 Days",2007
Billy Wilder,,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, Doris Dowling",The Lost Weekend,1945
Zoya Akhtar,,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz, Amruta Subhash",Gully Boy,2019
Andrei Tarkovsky,,"Erland Josephson, Susan Fleetwood, Allan Edwall, Guðrún Gísladóttir, Sven Wollter",The Sacrifice,1986
Akira Kurosawa,,"Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara, Jinpachi Nezu, Hideji Ôtaki",Kagemusha,1980
Nikkhil Advani,,"Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan, Sushma Seth",Kal Ho Naa Ho,2003
Andrey Zvyagintsev,,"Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko, Nataliya Vdovina, Galina Popova",The Return,2003
W.S. Van Dyke,,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Minna Gombell",The Thin Man,1934
Richard Brooks,,"Robert Blake, Scott Wilson, John Forsythe, Paul Stewart, Gerald S. O'Loughlin",In Cold Blood,1967
Karan Johar,,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane, Kenton Duty",My Name Is Khan,2010
Otto Preminger,,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price, Judith Anderson",Laura,1944
Federico Fellini,,"Magali Noël, Bruno Zanin, Pupella Maggio, Armando Brancia, Ciccio Ingrassia",I Remember,1973
Kim Ki-duk,,"Seung-Yun Lee, Hee Jae, Hyuk-ho Kwon, Jin-mo Joo, Jeong-ho Choi",3-Iron,2004
Fatih Akin,,"Birol Ünel, Sibel Kekilli, Güven Kiraç, Zarah Jane McKenzie, Stefan Gebelhoff",Head-On,2004
Bernardo Bertolucci,,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Enzo Tarascio, Fosco Giachetti",The Conformist,1970
Nicholas Ray,,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy, Carl Benton Reid, Art Smith",In a Lonely Place,1950
"Michael Curtiz, William Keighley",,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric Knowles",The Adventures of Robin Hood,1938
Pedro Almodóvar,,"Rosario Flores, Javier Cámara, Darío Grandinetti, Leonor Watling, Mariola Fuentes",Talk to Her,2002
Michael Haneke,,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud, William Shimell",Amour,2012
Richard Brooks,,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson",Cat on a Hot Tin Roof,1958
Henry Koster,,"James Stewart, Wallace Ford, William H. Lynn, Victoria Horne, Jesse White",Harvey,1950
George Cukor,,"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey, John Howard",The Philadelphia Story,1940
Alfred Hitchcock,,"James Stewart, John Dall, Farley Granger, Dick Hogan, Edith Evanson",Rope,1948
Destin Daniel Cretton,,"Brie Larson, Frantz Turner, John Gallagher Jr., Kaitlyn Dever, Stephanie Beatriz",Short Term 12,2013
Frank Capra,,"Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson, Edward Everett Horton",Arsenic and Old Lace,1944
Richard Linklater,,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Ariane Labed, Jennifer Prior",Before Midnight,2013
Alfred Hitchcock,,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern, Leopoldine Konstantin",Notorious,1946
Gareth Evans,,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara, Tio Pakusadewo",The Raid 2,2014
John Carney,,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor, Kelly Thornton",Sing Street,2016
Taylor Hackford,,"Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo, Victor Rivers",Bound by Honor,1993
Sergio Leone,,"Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy, Sieghardt Rupp",A Fistful of Dollars,1964
David Lean,,"Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger, Alec Guinness",Doctor Zhivago,1965
Alfred Hitchcock,,"Farley Granger, Robert Walker, Ruth Roman, Leo G. Carroll, Patricia Hitchcock",Strangers on a Train,1951
John Frankenheimer,,"Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury, Henry Silva",The Manchurian Candidate,1962
Henry Selick,,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, Glenn Shadix",The Nightmare Before Christmas,1993
Mamoru Oshii,,"Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera, Yutaka Nakano",Ghost in the Shell,1995
Elia Kazan,,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden, Rudy Bond",A Streetcar Named Desire,1951
Tomas Alfredson,,"Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl, Karin Bergquist",Let the Right One In,2008
Terry Gilliam,,"Jonathan Pryce, Kim Greist, Robert De Niro, Katherine Helmond, Ian Holm",Brazil,1985
Brian De Palma,,"Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo, Ingrid Rogers",Carlito's Way,1993
F.W. Murnau,,"Max Schreck, Alexander Granach, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell",Nosferatu,1922
Alan J. Pakula,,"Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam, Hal Holbrook",All the President's Men,1976
Stanley Donen,,"Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn, George Kennedy",Charade,1963
"John Lasseter, Ash Brannon, Lee Unkrich",,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles",Toy Story 2,1999
Darren Aronofsky,,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis, Todd Barry",The Wrestler,2008
Michael Curtiz,,"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden, Ann Blyth",Mildred Pierce,1945
"Stanley Kubrick, Anthony Mann",,"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton, Peter Ustinov",Spartacus,1960
Ang Lee,,"Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chang Chen, Sihung Lung","Crouching Tiger, Hidden Dragon",2000
Jean-Marc Vallée,,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn, Denis O'Hare",Dallas Buyers Club,2013
Richard Linklater,,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Elijah Smith, Lorelei Linklater",Boyhood,2014
Richard Schenkman,,"David Lee Smith, Tony Todd, John Billingsley, Ellen Crawford, Annika Peterson",The Man from Earth,2007
John Ford,,"John Wayne, Jeffrey Hunter, Vera Miles, Ward Bond, Natalie Wood",The Searchers,1956
Sam Peckinpah,,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien, Warren Oates",The Wild Bunch,1969
Tim Burton,,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, Kathy Baker",Edward Scissorhands,1990
Rob Reiner,,"Rob Reiner, Michael McKean, Christopher Guest, Kimberly Stringer, Chazz Dominguez",This Is Spinal Tap,1984
John Landis,,"John Belushi, Dan Aykroyd, Cab Calloway, John Candy, Tom Erhart",The Blues Brothers,1980
Ang Lee,,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu, Ayush Tandon",Life of Pi,2012
Martin McDonagh,,"Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington, Rudy Blomme",In Bruges,2008
Noah Baumbach,,"Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson, Wallace Shawn",Marriage Story,2019
Paul Thomas Anderson,,"Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán, Rico Bueno",Boogie Nights,1997
Jon Favreau,,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges, Leslie Bibb",Iron Man,2008
Denis Villeneuve,,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien",Arrival,2016
Alfonso Cuarón,,"Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths, Pam Ferris",Harry Potter and the Prisoner of Azkaban,2004
Doug Liman,,"Franka Potente, Matt Damon, Chris Cooper, Clive Owen, Brian Cox",The Bourne Identity,2002
Rian Johnson,,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon",Knives Out,2019
Bryan Singer,,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello",Bohemian Rhapsody,2018
Bryan Singer,,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy, Michael Fassbender",X-Men: Days of Future Past,2014
James Cameron,,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher",Titanic,1997
James Cameron,,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez, Stephen Lang",Avatar,2009
"Joel Crawford, Januel Mercado",,"Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh, Olivia Colman",Puss in Boots: The Last Wish,2022
David Lynch,,"Naomi Watts, Laura Harring, Justin Theroux, Jeanne Bates, Dan Birnbaum",Mulholland Drive,2001
"Daniel Kwan, Daniel Scheinert",,"Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan, James Hong",Everything Everywhere All at Once,2022
Rajkumar Santoshi,,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor, Paresh Rawal",Andaz Apna Apna,1994
Rajkumar Hirani,,"Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani, Dilip Prabhavalkar","Carry On, Munna Bhai",2006
Roberto Rossellini,,"Anna Magnani, Aldo Fabrizi, Marcello Pagliero, Vito Annichiarico, Nando Bruno","Rome, Open City",1945
Neeraj Pandey,,"Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Shergill, Kajal Aggarwal",Special 26,2013
Ingmar Bergman,,"Ingrid Thulin, Gunnar Björnstrand, Gunnel Lindblom, Max von Sydow, Allan Edwall",Winter Light,1963
Levent Semerci,,"Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç, Riza Sönmez",Nefes: Vatan Sagolsun,2009
"Yilmaz Erdogan, Ömer Faruk Sorak",,"Yilmaz Erdogan, Demet Akbag, Altan Erkekli, Cem Yilmaz, Cezmi Baskin",Vizontele,2001
Akira Kurosawa,,"Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô, Yûzô Kayama",Sanjuro,1962
Je-kyu Kang,,"Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong, Yeong-ran Lee",Tae Guk Gi: The Brotherhood of War,2004
Robert Hamer,,"Dennis Price, Alec Guinness, Valerie Hobson, Joan Greenwood, Audrey Fildes",Kind Hearts and Coronets,1949
Walter Salles,,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra, Soia Lira, Othon Bastos",Central Station,1998
Vishal Bhardwaj,,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon, Narendra Jha",Haider,2014
José Padilha,,"Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz, Maria Ribeiro",Elite Squad 2: The Enemy Within,2010
Luis Buñuel,,"Silvia Pinal, Jacqueline Andere, Enrique Rambal, José Baviera, Augusto Benedico",The Exterminating Angel,1962
Ernst Lubitsch,,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut, Sara Haden",The Shop Around the Corner,1940
Ömer Faruk Sorak,,"Cem Yilmaz, Özge Özberk, Ozan Güven, Safak Sezer, Rasim Öztekin",G.O.R.A.,2004
Jasmila Zbanic,,"Jasna Djuricic, Izudin Bajrovic, Boris Ler, Dino Bajrovic, Johan Heldenbergh","Quo Vadis, Aida?",2020
Ingmar Bergman,,"Harriet Andersson, Liv Ullmann, Kari Sylwan, Ingrid Thulin, Anders Ek",Cries & Whispers,1972
"Andrei Tarkovsky, Eduard Abalov",,"Nikolay Burlyaev, Valentin Zubkov, Evgeniy Zharikov, Stepan Krylov, Nikolay Grinko",Ivan's Childhood,1962
Federico Fellini,,"Anthony Quinn, Giulietta Masina, Richard Basehart, Aldo Silvani, Marcella Rovena",La strada,1954
Robert Rossen,,"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott, Myron McCormick",The Hustler,1961
Werner Herzog,,"Klaus Kinski, Claudia Cardinale, José Lewgoy, Miguel Ángel Fuentes, Paul Hittscher",Fitzcarraldo,1982
Tomm Moore,,"David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan, Lucy O'Connell",Song of the Sea,2014
Jacques Tourneur,,"Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming, Richard Webb",Out of the Past,1947
Otto Preminger,,"James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell, Eve Arden",Anatomy of a Murder,1959
Orson Welles,,"Charlton Heston, Orson Welles, Janet Leigh, Joseph Calleia, Akim Tamiroff",Touch of Evil,1958
Mike Leigh,,"Timothy Spall, Brenda Blethyn, Phyllis Logan, Claire Rushbrook, Marianne Jean-Baptiste",Secrets & Lies,1996
Andrei Tarkovsky,,"Margarita Terekhova, Filipp Yankovskiy, Ignat Daniltsev, Oleg Yankovskiy, Nikolay Grinko",Mirror,1975
Giuseppe Tornatore,,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn, Clarence Williams III",The Legend of 1900,1998
Luchino Visconti,,"Burt Lancaster, Alain Delon, Claudia Cardinale, Paolo Stoppa, Rina Morelli",The Leopard,1963
"Andrew Lau, Alan Mak",,"Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong, Eric Tsang, Kelly Chen",Infernal Affairs,2002
David Lynch,,"Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter, Donald Wiegert",The Straight Story,1999
"Tomm Moore, Ross Stewart",,"Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney, Tommy Tiernan",Wolfwalkers,2020
Charles Laughton,,"Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason, Evelyn Varden",The Night of the Hunter,1955
Robert Wiene,,"Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover, Hans Heinrich von Twardowski",The Cabinet of Dr. Caligari,1920
Wim Wenders,,"Bruno Ganz, Solveig Dommartin, Otto Sander, Curt Bois, Peter Falk",Wings of Desire,1987
Xavier Dolan,,"Anne Dorval, Antoine Olivier Pilon, Suzanne Clément, Patrick Huard, Alexandre Goyette",Mommy,2014
Federico Fellini,,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux, Magali Noël",La Dolce Vita,1960
Andrei Tarkovsky,,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetskiy, Nikolay Grinko",Solaris,1972
Richard Attenborough,,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth, Candice Bergen",Gandhi,1982
Hayao Miyazaki,,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya, Ichirô Nagai",Nausicaä of the Valley of the Wind,1984
Alan Parker,,"Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David, Kevin McKeon",Pink Floyd: The Wall,1982
Hal Ashby,,"Peter Sellers, Shirley MacLaine, Melvyn Douglas, Jack Warden, Richard Dysart",Being There,1979
Hayao Miyazaki,,"Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada, Fujio Tokita",Castle in the Sky,1986
Alexander Mackendrick,,"Burt Lancaster, Tony Curtis, Susan Harrison, Martin Milner, Jeff Donnell",Sweet Smell of Success,1957
William Wyler,,"Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power, Harcourt Williams",Roman Holiday,1953
Fred Zinnemann,,"Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges, Katy Jurado",High Noon,1952
Peter Bogdanovich,,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson, Cloris Leachman",The Last Picture Show,1971
Ron Howard,,"Russell Crowe, Renée Zellweger, Craig Bierko, Paul Giamatti, Paddy Considine",Cinderella Man,2005
Federico Fellini,,"Marcello Mastroianni, Anouk Aimée, Claudia Cardinale, Sandra Milo, Rossella Falk",8½,1963
Norman Jewison,,"Topol, Norma Crane, Leonard Frey, Molly Picon, Paul Mann",Fiddler on the Roof,1971
S.S. Rajamouli,,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj",Baahubali: The Beginning,2015
"Pete Docter, Kemp Powers",,"Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga",Soul,2020
Roman Polanski,,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer, Maurice Evans",Rosemary's Baby,1968
Quentin Tarantino,,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, Vivica A. Fox",Kill Bill: Vol. 2,2004
George Roy Hill,,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Henry Jones",Butch Cassidy and the Sundance Kid,1969
Paul Thomas Anderson,,"Tom Cruise, Jason Robards, Julianne Moore, Philip Seymour Hoffman, Pat Healy",Magnolia,1999
Kevin Costner,,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant, Floyd 'Red Crow' Westerman",Dances with Wolves,1990
Tim Burton,,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter",Big Fish,2003
"Gary Trousdale, Kirk Wise",,"Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",Beauty and the Beast,1991
John Huston,,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane",The Maltese Falcon,1941
Barry Levinson,,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock",Rain Man,1988
Terry Gilliam,,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito, Jon Seda",12 Monkeys,1995
Harold Ramis,,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray",Groundhog Day,1993
Lars von Trier,,"Nicole Kidman, Paul Bettany, Lauren Bacall, Harriet Andersson, Jean-Marc Barr",Dogville,2003
"Ron Clements, John Musker",,"Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Frank Welker",Aladdin,1992
Martin Brest,,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar, Philip Seymour Hoffman",Scent of a Woman,1992
Mike Nichols,,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels, Murray Hamilton",The Graduate,1967
Morten Tyldum,,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech, Rory Kinnear",The Imitation Game,2014
Paul Greengrass,,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles, David Strathairn",The Bourne Ultimatum,2007
Mike Nichols,,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis, Agnes Flanagan",Who's Afraid of Virginia Woolf?,1966
Martin Campbell,,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright, Mads Mikkelsen",Casino Royale,2006
Alejandro G. Iñárritu,,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson, Forrest Goodluck",The Revenant,2015
Robert Aldrich,,"Bette Davis, Joan Crawford, Victor Buono, Wesley Addy, Julie Allred",What Ever Happened to Baby Jane?,1962
Sian Heder,,"Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant, John Fiore",CODA,2021
Gabriele Muccino,,"Will Smith, Thandiwe Newton, Jaden Smith, Brian Howe, James Karen",The Pursuit of Happyness,2006
Brad Bird,,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee, Dominique Louis",The Incredibles,2004
Franklin J. Schaffner,,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, James Whitmore",Planet of the Apes,1968
Zack Snyder,,"Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams, Ray Fisher",Zack Snyder's Justice League,2021
"Byron Howard, Rich Moore, Jared Bush",,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence",Zootopia,2016
"Frank Miller, Quentin Tarantino, Robert Rodriguez",,"Mickey Rourke, Clive Owen, Bruce Willis, Jessica Alba, Devon Aoki",Sin City,2005
Damien Chazelle,,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons, Amiee Conn",La La Land,2016
Tim Miller,,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein, Karan Soni",Deadpool,2016
Ridley Scott,,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara, Jeff Daniels",The Martian,2015
Joss Whedon,,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner, Mark Ruffalo",The Avengers,2012
Richard Kelly,,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne, Maggie Gyllenhaal",Donnie Darko,2001
Yavuz Turgul,,"Sener Sen, Ugur Yücel, Sermin Hürmeriç, Yesim Salkim, Kamran Usluer",The Bandit,1996
Anubhav Sinha,,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar",Article 15,2019
Claude Berri,,"Yves Montand, Gérard Depardieu, Daniel Auteuil, Elisabeth Depardieu, Margarita Lozano",Jean de Florette,1986
Aniruddha Roy Chowdhury,,"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang, Piyush Mishra",Pink,2016
Zaza Urushadze,,"Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze, Misha Meskhi, Raivo Trass",Tangerines,2013
Shimit Amin,,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla, Chitrashi Rawat",Let's Go! India,2007
Charles Chaplin,,"Charles Chaplin, Merna Kennedy, Al Ernest Garcia, Harry Crocker, George Davis",The Circus,1928
Vikramaditya Motwane,,"Rajat Barmecha, Ronit Roy, Manjot Singh, Ram Kapoor, Raja Hudda",Udaan,2010
Sanjay Leela Bhansali,,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor, Dhritiman Chatterjee",Black,2005
Meghna Gulzar,,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah, Atul Kumar",Talvar,2015
Vikas Bahl,,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho, Marco Canadea",Queen,2013
Anurag Basu,,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla, Roopa Ganguly",Barfi!,2012
Neeraj Pandey,,"Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual, Gaurav Kapoor",A Wednesday,2008
Jean Renoir,,"Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim, Julien Carette",The Grand Illusion,1937
Jules Dassin,,"Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey, Pierre Grasset",Rififi,1955
Rakeysh Omprakash Mehra,,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi, Kunal Kapoor",Rang De Basanti,2006
Yimou Zhang,,"Gong Li, Jingwu Ma, Saifei He, Cuifen Cao, Qi Zhao",Raise the Red Lantern,1991
Ingmar Bergman,,"Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk, Marianne Aminoff",Autumn Sonata,1978
Billy Wilder,,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall, Frank Cady",Ace in the Hole,1951
Emir Kusturica,,"Davor Dujmovic, Bora Todorovic, Ljubica Adzovic, Husnija Hasimovic, Sinolicka Trpkova",Time of the Gypsies,1988
Federico Fellini,,"Giulietta Masina, François Périer, Franca Marzi, Dorian Gray, Aldo Silvani",Nights of Cabiria,1957
Ingmar Bergman,,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson, Axel Düberg",The Virgin Spring,1960
Neeraj Ghaywan,,"Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi, Vineet Kumar",Masaan,2015
Akira Kurosawa,,"Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura, Akira Kubo",Throne of Blood,1957
Stanley Kramer,,"Spencer Tracy, Fredric March, Gene Kelly, Dick York, Donna Anderson",Inherit the Wind,1960
